chrom	pos	reads_all	reads_pp
1	99860	1	1
1	99861	1	1
1	99862	1	1
1	99863	1	1
1	99864	1	1
1	99865	3	3
1	99866	8	8
1	99867	8	8
1	99868	8	8
1	99869	10	10
1	99870	11	11
1	99871	11	11
1	99872	12	12
1	99873	13	13
1	99874	13	13
1	99875	15	15
1	99876	15	15
1	99877	16	16
1	99878	17	17
1	99879	17	17
1	99880	17	17
1	99881	17	17
1	99882	17	17
1	99883	19	19
1	99884	19	19
1	99885	19	19
1	99886	20	20
1	99887	21	21
1	99888	24	24
1	99889	25	25
1	99890	25	25
1	99891	26	26
1	99892	26	26
1	99893	30	30
1	99894	30	30
1	99895	30	30
1	99896	30	30
1	99897	31	31
1	99898	31	31
1	99899	31	31
1	99900	33	33
1	99901	33	33
1	99902	33	33
1	99903	33	33
1	99904	33	33
1	99905	33	33
1	99906	35	35
1	99907	35	35
1	99908	35	35
1	99909	36	36
1	99910	36	36
1	99911	37	37
1	99912	39	39
1	99913	39	39
1	99914	40	40
1	99915	40	40
1	99916	40	40
1	99917	40	40
1	99918	40	40
1	99919	40	40
1	99920	40	40
1	99921	41	41
1	99922	41	41
1	99923	41	41
1	99924	43	43
1	99925	43	43
1	99926	44	44
1	99927	46	46
1	99928	47	47
1	99929	47	47
1	99930	47	47
1	99931	49	49
1	99932	50	50
1	99933	52	52
1	99934	53	53
1	99935	54	54
1	99936	55	55
1	99937	56	56
1	99938	57	57
1	99939	58	58
1	99940	58	58
1	99941	58	58
1	99942	59	59
1	99943	60	60
1	99944	60	60
1	99945	60	60
1	99946	61	61
1	99947	61	61
1	99948	61	61
1	99949	61	61
1	99950	62	62
1	99951	63	62
1	99952	63	62
1	99953	64	63
1	99954	64	63
1	99955	65	64
1	99956	67	66
1	99957	69	68
1	99958	69	68
1	99959	69	68
1	99960	70	69
1	99961	70	69
1	99962	71	70
1	99963	71	70
1	99964	71	70
1	99965	72	71
1	99966	74	73
1	99967	75	74
1	99968	76	75
1	99969	77	76
1	99970	78	77
1	99971	80	79
1	99972	81	80
1	99973	81	80
1	99974	83	82
1	99975	83	82
1	99976	83	82
1	99977	85	84
1	99978	85	84
1	99979	85	84
1	99980	85	84
1	99981	87	86
1	99982	88	87
1	99983	88	87
1	99984	88	87
1	99985	88	87
1	99986	90	89
1	99987	90	89
1	99988	90	89
1	99989	92	91
1	99990	92	91
1	99991	92	91
1	99992	93	92
1	99993	95	94
1	99994	96	95
1	99995	97	96
1	99996	98	97
1	99997	100	99
1	99998	100	99
1	99999	101	100
1	100000	101	100
1	100001	101	100
1	100002	101	100
1	100003	102	101
1	100004	102	101
1	100005	102	101
1	100006	102	101
1	100007	102	101
1	100008	102	101
1	100009	102	101
1	100010	101	100
1	100011	101	100
1	100012	101	100
1	100013	101	100
1	100014	101	100
1	100015	99	98
1	100016	94	93
1	100017	94	93
1	100018	94	93
1	100019	92	91
1	100020	91	90
1	100021	91	90
1	100022	90	89
1	100023	89	88
1	100024	89	88
1	100025	87	86
1	100026	87	86
1	100027	86	85
1	100028	85	84
1	100029	85	84
1	100030	85	84
1	100031	85	84
1	100032	85	84
1	100033	83	82
1	100034	83	82
1	100035	83	82
1	100036	82	81
1	100037	81	80
1	100038	78	77
1	100039	77	76
1	100040	77	76
1	100041	76	75
1	100042	76	75
1	100043	72	71
1	100044	72	71
1	100045	72	71
1	100046	72	71
1	100047	71	70
1	100048	71	70
1	100049	71	70
1	100050	69	68
1	100051	69	68
1	100052	69	68
1	100053	69	68
1	100054	69	68
1	100055	69	68
1	100056	67	66
1	100057	67	66
1	100058	67	66
1	100059	66	65
1	100060	66	65
1	100061	65	64
1	100062	63	62
1	100063	63	62
1	100064	62	61
1	100065	62	61
1	100066	62	61
1	100067	62	61
1	100068	62	61
1	100069	62	61
1	100070	62	61
1	100071	61	60
1	100072	61	60
1	100073	61	60
1	100074	59	58
1	100075	59	58
1	100076	58	57
1	100077	56	55
1	100078	55	54
1	100079	55	54
1	100080	55	54
1	100081	53	52
1	100082	52	51
1	100083	50	49
1	100084	49	48
1	100085	48	47
1	100086	47	46
1	100087	46	45
1	100088	45	44
1	100089	44	43
1	100090	44	43
1	100091	44	43
1	100092	43	42
1	100093	42	41
1	100094	42	41
1	100095	42	41
1	100096	41	40
1	100097	41	40
1	100098	41	40
1	100099	41	40
1	100100	40	39
1	100101	39	39
1	100102	39	39
1	100103	38	38
1	100104	38	38
1	100105	37	37
1	100106	35	35
1	100107	33	33
1	100108	33	33
1	100109	33	33
1	100110	32	32
1	100111	32	32
1	100112	31	31
1	100113	31	31
1	100114	31	31
1	100115	30	30
1	100116	28	28
1	100117	27	27
1	100118	26	26
1	100119	25	25
1	100120	24	24
1	100121	22	22
1	100122	21	21
1	100123	21	21
1	100124	19	19
1	100125	19	19
1	100126	19	19
1	100127	17	17
1	100128	17	17
1	100129	17	17
1	100130	17	17
1	100131	15	15
1	100132	14	14
1	100133	14	14
1	100134	14	14
1	100135	14	14
1	100136	12	12
1	100137	12	12
1	100138	12	12
1	100139	10	10
1	100140	10	10
1	100141	10	10
1	100142	9	9
1	100143	7	7
1	100144	6	6
1	100145	5	5
1	100146	4	4
1	100147	2	2
1	100148	2	2
1	100149	1	1
1	100150	1	1
1	100151	1	1
1	100152	1	1
