,0,1,2
0,1,249250621,249250621
1,2,243199373,492449994
2,3,198022430,690472424
3,4,191154276,881626700
4,5,180915260,1062541960
5,6,171115067,1233657027
6,7,159138663,1392795690
7,8,146364022,1539159712
8,9,141213431,1680373143
9,10,135534747,1815907890
10,11,135006516,1950914406
11,12,133851895,2084766301
12,13,115169878,2199936179
13,14,107349540,2307285719
14,15,102531392,2409817111
15,16,90354753,2500171864
16,17,81195210,2581367074
17,18,78077248,2659444322
18,19,59128983,2718573305
19,20,63025520,2781598825
20,21,48129895,2829728720
21,22,51304566,2881033286
22,23,155270560,3036303846
23,24,59373566,3095677412
